Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX13465624	9947789	102570	9681248	19567	0	0	0	0	0	0	0	0	0	138276	6086	42	1.0310833894848392
SRX13465625	9859255	91178	9614052	22414	0	0	0	0	0	0	0	0	0	126590	4980	41	0.9247960418916034
SRX13465626	12402377	116888	12103315	24655	0	0	0	0	0	0	0	0	0	150542	6929	48	0.9424644969266779
SRX13465627	17298614	195428	16836565	42962	0	0	0	0	0	0	0	0	0	215001	8580	78	1.1297321276721939
SRX13465628	14585929	149730	14166390	58473	0	0	0	0	0	0	0	0	0	204455	6820	61	1.0265372880945738
SRX13465629	9475209	97534	9244979	18711	0	0	0	0	0	0	0	0	0	109326	4611	48	1.0293598800828563
SRX13465630	18578808	202896	18078231	89599	0	0	0	0	0	0	0	0	0	196740	11247	95	1.0920829797046183
SRX13465631	12202427	131042	11883837	27644	0	0	0	0	0	0	0	0	0	152277	7580	47	1.073901118195585
SRX13465632	17559640	175790	17137066	38390	0	0	0	0	0	0	0	0	0	195637	12694	63	1.0011025282978467
SRX13465633	12987665	187631	12595495	37423	0	0	0	0	0	0	0	0	0	156678	10328	110	1.4446861695308586
SRX13465634	16623279	210825	16161863	28583	0	0	0	0	0	0	0	0	0	209868	12018	122	1.2682515886306185
SRX13465635	11604363	120137	11300282	21037	0	0	0	0	0	0	0	0	0	155203	7650	54	1.0352744049802647
SRX13465636	15019790	213354	14568378	32677	0	0	0	0	0	0	0	0	0	195630	9645	106	1.4204859055952181
SRX13465637	12573396	181195	12177179	48994	0	0	0	0	0	0	0	0	0	158032	7914	82	1.4410983317474453
SRX13465638	44888479	583351	43671595	86817	0	0	0	0	0	0	0	0	0	520934	25558	224	1.2995561734225836
SRX13465639	15418452	213529	14952287	77971	0	0	0	0	0	0	0	0	0	162310	12279	76	1.3848925949245747
SRX13465640	11470196	126741	11189045	20020	0	0	0	0	0	0	0	0	0	124215	10139	36	1.1049593224039067
SRX13465641	30781040	346354	29987761	59689	0	0	0	0	0	0	0	0	0	366134	20974	128	1.1252186410855514
SRX13465642	11985008	128380	11696167	21542	0	0	0	0	0	0	0	0	0	131085	7751	83	1.0711715836985674
SRX13465643	11433054	114313	11170538	19729	0	0	0	0	0	0	0	0	0	122216	6204	54	0.9998465851731305
SRX13465644	13911430	146584	13589406	30651	0	0	0	0	0	0	0	0	0	136832	7902	55	1.0536946956567368
SRX13465645	14387605	168095	14038372	37217	0	0	0	0	0	0	0	0	0	136402	7446	73	1.1683320469251137
SRX13465646	13004449	127757	12683961	46785	0	0	0	0	0	0	0	0	0	140059	5837	50	0.9824099429356831
SRX13465647	20731697	213396	20283959	36327	0	0	0	0	0	0	0	0	0	188361	9578	76	1.0293223945922034
SRX13465648	16172829	179561	15764112	72528	0	0	0	0	0	0	0	0	0	146409	10147	72	1.110263393003166
SRX13465649	13120169	136140	12810604	23242	0	0	0	0	0	0	0	0	0	140686	9446	51	1.0376390730942566
SRX13465650	17275454	149209	16898277	37384	0	0	0	0	0	0	0	0	0	180704	9829	51	0.8637052317120001
SRX13465651	20108516	345393	19465407	52125	0	0	0	0	0	0	0	0	0	227481	17949	161	1.7176453995908996
SRX13465652	11802026	204881	11398905	24911	0	0	0	0	0	0	0	0	0	161943	11259	127	1.7359816018029446
SRX13465653	11973003	209657	11563259	24700	0	0	0	0	0	0	0	0	0	163518	11745	124	1.7510811615097734
SRX13465654	21768731	453851	20969148	88083	0	0	0	0	0	0	0	0	0	239191	18248	210	2.084875778932635
SRX13465655	17236147	374598	16597283	45308	0	0	0	0	0	0	0	0	0	203982	14787	189	2.1733279485258508
SRX13465656	19032831	348986	18392391	43123	0	0	0	0	0	0	0	0	0	231625	16497	209	1.8336000566599893
SRX13465657	10321292	180557	9957126	63075	0	0	0	0	0	0	0	0	0	111178	9283	73	1.7493643237687686
SRX13465658	14193928	260728	13724404	34584	0	0	0	0	0	0	0	0	0	159587	14509	116	1.8368981440514565
SRX13465659	16887941	278155	16356575	40507	0	0	0	0	0	0	0	0	0	197051	15517	136	1.6470628361385204
SRX13465660	9806922	116676	9556999	19134	0	0	0	0	0	0	0	0	0	106923	7121	69	1.189731089938311
SRX13465661	12880643	125035	12596297	22157	0	0	0	0	0	0	0	0	0	129962	7135	57	0.9707201728982009
SRX13465662	12797239	119532	12507047	23176	0	0	0	0	0	0	0	0	0	139553	7867	64	0.9340452264742418
SRX13465663	15694147	181029	15293094	69012	0	0	0	0	0	0	0	0	0	142638	8303	71	1.1534809760606932
SRX13465664	12890761	129008	12591687	26446	0	0	0	0	0	0	0	0	0	137687	5867	66	1.0007787748139927
SRX13465665	12345907	129145	12080114	21593	0	0	0	0	0	0	0	0	0	108975	6011	69	1.0460551824989448
SRX13465666	12721217	165635	12345711	55721	0	0	0	0	0	0	0	0	0	144443	9618	89	1.3020373758265424
SRX13465667	13754014	203964	13358965	43710	0	0	0	0	0	0	0	0	0	135996	11291	88	1.4829416343476165
SRX13465668	22881073	217969	22362378	41345	0	0	0	0	0	0	0	0	0	245596	13720	65	0.9526170385453515
