# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "0" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "DRX114947_cds.txt" "DRX114947.bam" 
Geneid	Chr	Start	End	Strand	Length	DRX114947.bam
SYNPCC7002_RS15225	NC_010474.1	1	588	+	588	247
SYNPCC7002_RS15230	NC_010474.1	588	1343	+	756	233
SYNPCC7002_RS15235	NC_010474.1	1441	2016	+	576	280
SYNPCC7002_RS15240	NC_010474.1	2013	2540	-	528	121
SYNPCC7002_RS15245	NC_010474.1	2711	3457	-	747	36
SYNPCC7002_RS15250	NC_010474.1	3706	6204	-	2499	216
SYNPCC7002_RS15255	NC_010474.1	6306	7334	-	1029	230
SYNPCC7002_RS15260	NC_010474.1	7700	10483	-	2784	141
SYNPCC7002_RS15265	NC_010474.1	10559	10843	-	285	67
SYNPCC7002_RS15270	NC_010474.1	11745	12377	-	633	175
SYNPCC7002_RS15275	NC_010474.1	12511	14241	-	1731	197
SYNPCC7002_RS15280	NC_010474.1	14840	17764	+	2925	779
SYNPCC7002_RS15285	NC_010474.1	17785	18378	-	594	65
SYNPCC7002_RS15290	NC_010474.1	18409	19233	-	825	22
SYNPCC7002_RS15295	NC_010474.1	19256	20653	-	1398	29
SYNPCC7002_RS15300	NC_010474.1	20667	21506	-	840	17
SYNPCC7002_RS16840	NC_010474.1	21820	21960	-	141	2
SYNPCC7002_RS15305	NC_010474.1	22322	23236	-	915	46
SYNPCC7002_RS15310	NC_010474.1	23404	25845	-	2442	208
SYNPCC7002_RS15315	NC_010474.1	25893	27110	-	1218	38
SYNPCC7002_RS15320	NC_010474.1	27112	28413	-	1302	98
SYNPCC7002_RS15325	NC_010474.1	28432	29031	-	600	42
SYNPCC7002_RS15330	NC_010474.1	29024	30868	-	1845	102
SYNPCC7002_RS15335	NC_010474.1	30865	32373	-	1509	86
SYNPCC7002_RS15340	NC_010474.1	32419	33822	-	1404	1574
SYNPCC7002_RS15345	NC_010474.1	34151	34945	+	795	65
SYNPCC7002_RS15350	NC_010474.1	35127	36023	-	897	29
SYNPCC7002_RS15355	NC_010474.1	36130	36615	+	486	39
SYNPCC7002_RS15360	NC_010474.1	36686	37189	+	504	73
SYNPCC7002_RS15365	NC_010474.1	37260	37871	-	612	145
SYNPCC7002_RS15370	NC_010474.1	37991	38581	-	591	35
SYNPCC7002_RS15375	NC_010474.1	38591	39691	-	1101	243
SYNPCC7002_RS17145	NC_010474.1	39771	39929	-	159	48
SYNPCC7002_RS15385	NC_010474.1	40099	40464	-	366	65
SYNPCC7002_RS15390	NC_010474.1	40448	40774	-	327	63
SYNPCC7002_RS15395	NC_010474.1	40826	42076	-	1251	183
SYNPCC7002_RS15400	NC_010474.1	42085	42759	-	675	57
SYNPCC7002_RS15405	NC_010474.1	43051	43392	+	342	44
SYNPCC7002_RS15410	NC_010474.1	43601	44161	-	561	132
SYNPCC7002_RS16270	NC_010474.1	44300	44944	+	645	79
