# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "0" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "DRX114946_cds.txt" "DRX114946.bam" 
Geneid	Chr	Start	End	Strand	Length	DRX114946.bam
SYNPCC7002_RS15225	NC_010474.1	1	588	+	588	503
SYNPCC7002_RS15230	NC_010474.1	588	1343	+	756	417
SYNPCC7002_RS15235	NC_010474.1	1441	2016	+	576	515
SYNPCC7002_RS15240	NC_010474.1	2013	2540	-	528	214
SYNPCC7002_RS15245	NC_010474.1	2711	3457	-	747	93
SYNPCC7002_RS15250	NC_010474.1	3706	6204	-	2499	345
SYNPCC7002_RS15255	NC_010474.1	6306	7334	-	1029	137
SYNPCC7002_RS15260	NC_010474.1	7700	10483	-	2784	347
SYNPCC7002_RS15265	NC_010474.1	10559	10843	-	285	225
SYNPCC7002_RS15270	NC_010474.1	11745	12377	-	633	303
SYNPCC7002_RS15275	NC_010474.1	12511	14241	-	1731	320
SYNPCC7002_RS15280	NC_010474.1	14840	17764	+	2925	1312
SYNPCC7002_RS15285	NC_010474.1	17785	18378	-	594	226
SYNPCC7002_RS15290	NC_010474.1	18409	19233	-	825	52
SYNPCC7002_RS15295	NC_010474.1	19256	20653	-	1398	75
SYNPCC7002_RS15300	NC_010474.1	20667	21506	-	840	51
SYNPCC7002_RS16840	NC_010474.1	21820	21960	-	141	27
SYNPCC7002_RS15305	NC_010474.1	22322	23236	-	915	146
SYNPCC7002_RS15310	NC_010474.1	23404	25845	-	2442	603
SYNPCC7002_RS15315	NC_010474.1	25893	27110	-	1218	107
SYNPCC7002_RS15320	NC_010474.1	27112	28413	-	1302	231
SYNPCC7002_RS15325	NC_010474.1	28432	29031	-	600	92
SYNPCC7002_RS15330	NC_010474.1	29024	30868	-	1845	232
SYNPCC7002_RS15335	NC_010474.1	30865	32373	-	1509	176
SYNPCC7002_RS15340	NC_010474.1	32419	33822	-	1404	7838
SYNPCC7002_RS15345	NC_010474.1	34151	34945	+	795	263
SYNPCC7002_RS15350	NC_010474.1	35127	36023	-	897	92
SYNPCC7002_RS15355	NC_010474.1	36130	36615	+	486	95
SYNPCC7002_RS15360	NC_010474.1	36686	37189	+	504	148
SYNPCC7002_RS15365	NC_010474.1	37260	37871	-	612	446
SYNPCC7002_RS15370	NC_010474.1	37991	38581	-	591	178
SYNPCC7002_RS15375	NC_010474.1	38591	39691	-	1101	3231
SYNPCC7002_RS17145	NC_010474.1	39771	39929	-	159	171
SYNPCC7002_RS15385	NC_010474.1	40099	40464	-	366	353
SYNPCC7002_RS15390	NC_010474.1	40448	40774	-	327	236
SYNPCC7002_RS15395	NC_010474.1	40826	42076	-	1251	410
SYNPCC7002_RS15400	NC_010474.1	42085	42759	-	675	125
SYNPCC7002_RS15405	NC_010474.1	43051	43392	+	342	93
SYNPCC7002_RS15410	NC_010474.1	43601	44161	-	561	408
SYNPCC7002_RS16270	NC_010474.1	44300	44944	+	645	335
SYNPCC7002_RS15420	NC_010474.1	44949	46349	+	1401	1131
SYNPCC7002_RS17150	NC_010474.1	46499	46819	+	321	36
SYNPCC7002_RS17155	NC_010474.1	46856	47485	+	630	50
SYNPCC7002_RS15435	NC_010474.1	47506	47880	+	375	34
SYNPCC7002_RS15440	NC_010474.1	47892	48365	+	474	71
SYNPCC7002_RS15445	NC_010474.1	48966	49475	-	510	496
SYNPCC7002_RS17160	NC_010474.1	49492	49738	-	247	239
SYNPCC7002_RS17025	NC_010474.1	49950	50120	-	171	25
SYNPCC7002_RS15450	NC_010474.1	50213	50458	-	246	42
SYNPCC7002_RS15455	NC_010474.1	50455	51051	-	597	139
SYNPCC7002_RS16850	NC_010474.1	51282	51647	+	366	70
SYNPCC7002_RS15465	NC_010474.1	51717	52601	+	885	293
SYNPCC7002_RS15470	NC_010474.1	52785	53093	+	309	519
SYNPCC7002_RS15475	NC_010474.1	53110	53328	+	219	214
SYNPCC7002_RS15480	NC_010474.1	53329	53724	+	396	294
SYNPCC7002_RS15485	NC_010474.1	54201	55307	-	1107	140
SYNPCC7002_RS15490	NC_010474.1	55369	55941	-	573	132
SYNPCC7002_RS16855	NC_010474.1	55985	56128	-	144	23
SYNPCC7002_RS15495	NC_010474.1	56131	56382	-	252	37
SYNPCC7002_RS15500	NC_010474.1	56430	57134	-	705	115
SYNPCC7002_RS15505	NC_010474.1	57241	59328	-	2088	435
SYNPCC7002_RS15510	NC_010474.1	59393	61099	-	1707	214
SYNPCC7002_RS15515	NC_010474.1	61443	62570	+	1128	208
SYNPCC7002_RS15520	NC_010474.1	62567	63262	+	696	619
SYNPCC7002_RS15525	NC_010474.1	63339	64175	-	837	278
SYNPCC7002_RS15530	NC_010474.1	64132	64935	-	804	291
SYNPCC7002_RS15535	NC_010474.1	65060	65506	-	447	117
SYNPCC7002_RS15540	NC_010474.1	65804	67423	-	1620	1572
SYNPCC7002_RS16275	NC_010474.1	68503	73563	+	5061	427
SYNPCC7002_RS15550	NC_010474.1	74140	74874	+	735	40
SYNPCC7002_RS15555	NC_010474.1	74943	77972	+	3030	256
SYNPCC7002_RS15560	NC_010474.1	78042	79721	+	1680	428
SYNPCC7002_RS17165	NC_010474.1	79898	80224	-	327	379
SYNPCC7002_RS17170	NC_010474.1	80221	81091	-	871	228
SYNPCC7002_RS15575	NC_010474.1	81290	82906	+	1617	578
SYNPCC7002_RS15580	NC_010474.1	82903	84519	-	1617	184
SYNPCC7002_RS15585	NC_010474.1	85060	86340	+	1281	503
SYNPCC7002_RS15590	NC_010474.1	86891	88219	+	1329	1070
SYNPCC7002_RS15595	NC_010474.1	88192	88683	-	492	97
SYNPCC7002_RS15600	NC_010474.1	88738	88935	-	198	57
SYNPCC7002_RS15605	NC_010474.1	89450	90472	+	1023	44
SYNPCC7002_RS15610	NC_010474.1	90469	91302	+	834	65
SYNPCC7002_RS15615	NC_010474.1	91406	94054	+	2649	329
SYNPCC7002_RS15620	NC_010474.1	94180	94545	+	366	102
SYNPCC7002_RS15625	NC_010474.1	94604	95497	+	894	137
SYNPCC7002_RS15630	NC_010474.1	95562	96101	+	540	448
SYNPCC7002_RS15635	NC_010474.1	96164	96508	-	345	287
SYNPCC7002_RS15640	NC_010474.1	96502	96744	-	243	112
SYNPCC7002_RS15645	NC_010474.1	96849	97664	-	816	183
SYNPCC7002_RS15650	NC_010474.1	97668	98705	-	1038	132
SYNPCC7002_RS15655	NC_010474.1	98702	99676	-	975	79
SYNPCC7002_RS15660	NC_010474.1	99795	100562	-	768	147
SYNPCC7002_RS16290	NC_010474.1	100628	102163	-	1536	350
SYNPCC7002_RS16595	NC_010474.1	102563	103114	-	552	73
SYNPCC7002_RS16600	NC_010474.1	103077	103418	-	342	136
SYNPCC7002_RS16305	NC_010474.1	103575	104621	-	1047	115
SYNPCC7002_RS16310	NC_010474.1	104581	105333	-	753	52
SYNPCC7002_RS16315	NC_010474.1	105330	106097	-	768	111
SYNPCC7002_RS15680	NC_010474.1	106254	107234	-	981	132
SYNPCC7002_RS15685	NC_010474.1	107413	108459	-	1047	363
SYNPCC7002_RS15690	NC_010474.1	108509	111004	-	2496	449
SYNPCC7002_RS16320	NC_010474.1	111195	112283	-	1089	160
SYNPCC7002_RS15700	NC_010474.1	112494	114269	-	1776	246
SYNPCC7002_RS15705	NC_010474.1	114297	114695	-	399	48
SYNPCC7002_RS15710	NC_010474.1	114692	115717	-	1026	96
SYNPCC7002_RS15715	NC_010474.1	115742	118219	-	2478	479
SYNPCC7002_RS15720	NC_010474.1	118451	119404	-	954	105
SYNPCC7002_RS16535	NC_010474.1	119572	119812	-	241	51
SYNPCC7002_RS15725	NC_010474.1	119817	121169	-	1353	539
SYNPCC7002_RS15730	NC_010474.1	121454	123052	+	1599	1587
SYNPCC7002_RS15735	NC_010474.1	123191	124921	-	1731	754
SYNPCC7002_RS15740	NC_010474.1	125067	125807	-	741	406
SYNPCC7002_RS15745	NC_010474.1	126059	126334	-	276	649
SYNPCC7002_RS15750	NC_010474.1	126711	127472	+	762	620
SYNPCC7002_RS15755	NC_010474.1	127476	128384	-	909	188
SYNPCC7002_RS15760	NC_010474.1	128930	130756	+	1827	209
SYNPCC7002_RS15765	NC_010474.1	130995	131999	+	1005	64
SYNPCC7002_RS15770	NC_010474.1	131999	133585	+	1587	92
SYNPCC7002_RS15775	NC_010474.1	133589	134245	+	657	50
SYNPCC7002_RS15780	NC_010474.1	134232	135284	+	1053	264
SYNPCC7002_RS16325	NC_010474.1	135287	137776	+	2490	404
SYNPCC7002_RS15790	NC_010474.1	137770	138558	+	789	137
SYNPCC7002_RS15795	NC_010474.1	138724	139173	+	450	428
SYNPCC7002_RS15800	NC_010474.1	139440	140171	+	732	570
SYNPCC7002_RS15805	NC_010474.1	140189	140503	+	315	94
SYNPCC7002_RS15810	NC_010474.1	140467	141090	-	624	198
SYNPCC7002_RS15815	NC_010474.1	141505	143703	+	2199	1020
SYNPCC7002_RS15820	NC_010474.1	143821	144396	+	576	121
SYNPCC7002_RS15825	NC_010474.1	144816	145091	+	276	124
SYNPCC7002_RS16330	NC_010474.1	145460	146086	-	627	438
SYNPCC7002_RS15835	NC_010474.1	146775	147860	+	1086	192
SYNPCC7002_RS15840	NC_010474.1	147982	148620	+	639	78
SYNPCC7002_RS15845	NC_010474.1	148716	149051	-	336	96
SYNPCC7002_RS15850	NC_010474.1	149172	149879	-	708	4038
SYNPCC7002_RS15855	NC_010474.1	149990	150487	-	498	68
SYNPCC7002_RS15860	NC_010474.1	150589	151854	+	1266	140
SYNPCC7002_RS15865	NC_010474.1	152272	153522	+	1251	234
SYNPCC7002_RS15870	NC_010474.1	153649	155169	+	1521	479
SYNPCC7002_RS15875	NC_010474.1	155214	156182	-	969	192
SYNPCC7002_RS15880	NC_010474.1	156267	156689	-	423	93
SYNPCC7002_RS15885	NC_010474.1	156778	157425	-	648	194
SYNPCC7002_RS15890	NC_010474.1	157753	160173	+	2421	272
SYNPCC7002_RS15895	NC_010474.1	160360	161292	+	933	93
SYNPCC7002_RS15900	NC_010474.1	161364	162965	-	1602	197
SYNPCC7002_RS15905	NC_010474.1	163577	164308	-	732	83
SYNPCC7002_RS15910	NC_010474.1	164567	165403	-	837	230
SYNPCC7002_RS15915	NC_010474.1	165403	166320	-	918	527
SYNPCC7002_RS15925	NC_010474.1	166576	167973	+	1398	560
SYNPCC7002_RS15930	NC_010474.1	167999	168370	+	372	43
SYNPCC7002_RS15935	NC_010474.1	168367	168666	+	300	111
SYNPCC7002_RS15940	NC_010474.1	168782	169093	+	312	120
SYNPCC7002_RS15945	NC_010474.1	169101	169802	+	702	496
SYNPCC7002_RS15950	NC_010474.1	169799	170074	+	276	253
SYNPCC7002_RS15955	NC_010474.1	170077	170829	+	753	717
SYNPCC7002_RS15960	NC_010474.1	170860	172398	+	1539	559
SYNPCC7002_RS15965	NC_010474.1	172402	173325	+	924	253
SYNPCC7002_RS15970	NC_010474.1	173343	175439	-	2097	560
SYNPCC7002_RS15975	NC_010474.1	175803	176771	-	969	231
SYNPCC7002_RS15980	NC_010474.1	176819	178111	-	1293	291
SYNPCC7002_RS15985	NC_010474.1	178161	178655	-	495	338
SYNPCC7002_RS15990	NC_010474.1	178784	179713	-	930	566
SYNPCC7002_RS15995	NC_010474.1	180125	180796	-	672	286
SYNPCC7002_RS16000	NC_010474.1	180902	182410	-	1509	490
SYNPCC7002_RS16005	NC_010474.1	182432	183037	-	606	64
SYNPCC7002_RS16885	NC_010474.1	183289	183585	-	297	40
SYNPCC7002_RS16015	NC_010474.1	183607	184002	+	396	44
SYNPCC7002_RS16020	NC_010474.1	184210	184893	+	684	504
SYNPCC7002_RS16025	NC_010474.1	184913	185905	-	993	462
SYNPCC7002_RS16030	NC_010474.1	186066	186368	+	303	231
SYNPCC7002_RS14205	NC_010476.1	13	3015	+	3003	4987
SYNPCC7002_RS14210	NC_010476.1	3247	3468	-	222	789
SYNPCC7002_RS16780	NC_010476.1	3759	4121	+	363	3856
SYNPCC7002_RS17245	NC_010476.1	4564	4692	+	129	3356
SYNPCC7002_RS14225	NC_010477.1	1	705	+	705	1512
SYNPCC7002_RS16260	NC_010477.1	698	1030	+	333	768
SYNPCC7002_RS14235	NC_010477.1	1154	2602	+	1449	426
SYNPCC7002_RS14240	NC_010477.1	2599	3795	+	1197	422
SYNPCC7002_RS14245	NC_010477.1	3806	5224	+	1419	1094
SYNPCC7002_RS14250	NC_010477.1	5332	7638	+	2307	2028
SYNPCC7002_RS14255	NC_010477.1	7718	8632	-	915	394
SYNPCC7002_RS14260	NC_010477.1	8908	9480	-	573	8852
SYNPCC7002_RS14265	NC_010477.1	9658	11073	-	1416	1305
SYNPCC7002_RS14270	NC_010477.1	11077	13002	-	1926	1632
SYNPCC7002_RS14275	NC_010477.1	13101	13253	-	153	1332
SYNPCC7002_RS14280	NC_010477.1	13660	14076	-	417	2180
SYNPCC7002_RS14285	NC_010477.1	14073	14303	-	231	1345
SYNPCC7002_RS14290	NC_010477.1	14473	14724	-	252	1266
SYNPCC7002_RS14295	NC_010477.1	14721	14987	-	267	128
SYNPCC7002_RS14300	NC_010477.1	15025	15267	-	243	62
SYNPCC7002_RS14305	NC_010477.1	15264	15941	-	678	325
SYNPCC7002_RS14310	NC_010478.1	1	597	+	597	128
SYNPCC7002_RS14315	NC_010478.1	594	779	+	186	27
SYNPCC7002_RS14320	NC_010478.1	1276	1503	+	228	224
SYNPCC7002_RS14325	NC_010478.1	1500	1904	+	405	444
SYNPCC7002_RS14330	NC_010478.1	2160	3260	-	1101	5302
SYNPCC7002_RS14335	NC_010478.1	3673	4287	-	615	26161
SYNPCC7002_RS14340	NC_010478.1	4340	4696	-	357	27824
SYNPCC7002_RS14345	NC_010478.1	4773	5396	-	624	49398
SYNPCC7002_RS14350	NC_010478.1	5409	6155	-	747	38195
SYNPCC7002_RS14355	NC_010478.1	6222	6731	-	510	23511
SYNPCC7002_RS14360	NC_010478.1	6761	7717	-	957	38911
SYNPCC7002_RS14365	NC_010478.1	8734	9234	-	501	345
SYNPCC7002_RS14370	NC_010478.1	9246	9644	-	399	43
SYNPCC7002_RS14375	NC_010478.1	9655	10641	-	987	96
SYNPCC7002_RS14380	NC_010478.1	10936	11265	+	330	314
SYNPCC7002_RS14385	NC_010478.1	11279	11677	-	399	742
SYNPCC7002_RS14390	NC_010478.1	11658	11960	-	303	500
SYNPCC7002_RS14395	NC_010478.1	15248	15541	-	294	207
SYNPCC7002_RS14400	NC_010478.1	15538	16515	-	978	272
SYNPCC7002_RS14405	NC_010478.1	16518	17096	-	579	165
SYNPCC7002_RS14410	NC_010478.1	17101	17883	-	783	189
SYNPCC7002_RS14415	NC_010478.1	17876	18631	-	756	167
SYNPCC7002_RS14420	NC_010478.1	18701	19690	-	990	254
SYNPCC7002_RS14425	NC_010478.1	19735	22656	-	2922	817
SYNPCC7002_RS14430	NC_010478.1	22670	24814	-	2145	493
SYNPCC7002_RS14435	NC_010478.1	24961	25227	-	267	58
SYNPCC7002_RS14440	NC_010478.1	25579	26541	+	963	885
SYNPCC7002_RS14445	NC_010478.1	26975	28945	+	1971	842
SYNPCC7002_RS16505	NC_010478.1	29056	29286	-	231	243
