Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX8102890	69.97591686332858	13482847	90.29	17397487.0	0.32827858169400587	91.34407988386283	50.0	149.38390823174305	30.0	19267839.0
SRX8102891	72.8758693823669	11310281	94.05	14597223.0	0.3353010099959137	88.86069026244513	49.0	149.44215023963386	20.0	15519926.0
SRX8102892	64.12081656061075	9928448	91.58	14180188.0	0.459834277395466	91.02934898720206	49.0	149.57090436109087	30.0	15483970.0
SRX8102893	63.482138016643944	8653421	90.46	12330903.0	0.34455940319580297	89.79683263419255	49.0	150.25251156000223	30.0	13631269.0
SRX8102894	70.32143962892712	10293492	89.86	13153451.0	0.46726546848692924	88.01561139447931	49.0	149.4576630241269	20.0	14637772.0
SRX8102895	65.70144210688628	8777463	89.23	11920168.0	0.33464511696172994	89.24808954589695	49.0	149.56376326572163	30.0	13359620.0
SRX8102896	67.73168804257121	11268122	92.83	15443892.0	0.4861722545037309	89.50734912220666	49.0	149.68326125148027	30.0	16636411.0
SRX8102897	68.9262082108971	10049233	94.73	13811705.0	0.34419402175168684	89.05454159932538	49.0	149.65460642600416	30.0	14579698.0
SRX8102898	65.15838499311174	11305331	89.31	15495173.0	0.37635969459515534	90.20670816063387	49.0	149.34569220010974	30.0	17350539.0
SRX8102899	67.74863662794553	11951663	92.16	16257706.0	0.5009503470483522	88.3829951475402	48.0	149.39444201767387	20.0	17641186.0
SRX8102900	66.37912331281058	12219843	90.93	16739961.0	0.36779098082802086	90.49896428749035	49.0	149.3659200530866	30.0	18409166.0
SRX8102901	65.52900986899084	9673456	90.07	13295502.0	0.3456731888470173	88.7766719259482	48.0	149.4343604435061	10.0	14762097.0
