# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "64" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX13465628_cds.txt" "SRX13465628.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX13465628.bam
SGL_RS01880	NC_000911.1	811	1494	+	684	6
SGL_RS01885	NC_000911.1	1577	2098	+	522	5
SGL_RS01890	NC_000911.1	2172	2873	-	702	11
SGL_RS01895	NC_000911.1	3192	4268	-	1077	154
SGL_RS01900	NC_000911.1	4451	5389	-	939	34
SGL_RS01905	NC_000911.1	5534	6622	-	1089	50
SGL_RS01910	NC_000911.1	7229	8311	+	1083	11171
SGL_RS19400	NC_000911.1	8301	8450	-	150	1
SGL_RS01915	NC_000911.1	8492	10471	+	1980	28
SGL_RS01920	NC_000911.1	10622	12631	-	2010	4
SGL_RS01925	NC_000911.1	12782	13363	+	582	12
SGL_RS01930	NC_000911.1	13498	14529	+	1032	1
SGL_RS01935	NC_000911.1	14626	15675	+	1050	0
SGL_RS01940	NC_000911.1	15937	16743	+	807	5
SGL_RS01945	NC_000911.1	16740	17687	+	948	6
SGL_RS01950	NC_000911.1	17853	20393	-	2541	0
SGL_RS01955	NC_000911.1	20615	21595	-	981	1
SGL_RS01960	NC_000911.1	21838	23121	-	1284	0
SGL_RS01965	NC_000911.1	23139	24104	-	966	0
SGL_RS01970	NC_000911.1	24101	25003	-	903	0
SGL_RS01975	NC_000911.1	25266	27839	-	2574	1
SGL_RS01980	NC_000911.1	27990	29030	-	1041	1
SGL_RS01985	NC_000911.1	29098	29895	-	798	0
SGL_RS01990	NC_000911.1	29968	32454	-	2487	7
SGL_RS01995	NC_000911.1	32524	32928	-	405	0
SGL_RS02000	NC_000911.1	32912	33544	-	633	0
SGL_RS02005	NC_000911.1	33891	35489	+	1599	3
SGL_RS02010	NC_000911.1	35566	36615	+	1050	2
SGL_RS02015	NC_000911.1	36757	38538	+	1782	5
SGL_RS02020	NC_000911.1	38680	39636	+	957	0
SGL_RS02025	NC_000911.1	39817	42363	+	2547	2
SGL_RS02030	NC_000911.1	42567	43397	+	831	2
SGL_RS02035	NC_000911.1	43511	44506	+	996	0
SGL_RS02040	NC_000911.1	44511	44885	+	375	0
SGL_RS02045	NC_000911.1	44948	46789	+	1842	4
SGL_RS02050	NC_000911.1	47007	47942	-	936	3
SGL_RS02055	NC_000911.1	48067	48408	-	342	0
SGL_RS02060	NC_000911.1	48405	48635	-	231	2
SGL_RS02065	NC_000911.1	48663	49868	-	1206	16
SGL_RS02070	NC_000911.1	49893	50231	-	339	10
SGL_RS02075	NC_000911.1	50246	51895	+	1650	11
SGL_RS18635	NC_000911.1	52260	53108	-	849	6
SGL_RS02085	NC_000911.1	53453	54097	-	645	5
SGL_RS02090	NC_000911.1	54533	55657	+	1125	7
SGL_RS02095	NC_000911.1	55669	56550	-	882	24
SGL_RS02100	NC_000911.1	56556	57224	-	669	24
SGL_RS02105	NC_000911.1	57340	58815	-	1476	27
SGL_RS02110	NC_000911.1	59039	59650	-	612	2
SGL_RS02115	NC_000911.1	59749	60423	+	675	9
SGL_RS02120	NC_000911.1	60524	61522	+	999	16
SGL_RS02125	NC_000911.1	61834	63591	+	1758	32
SGL_RS02130	NC_000911.1	63633	64361	+	729	8
SGL_RS02135	NC_000911.1	64393	64914	+	522	4
SGL_RS02140	NC_000911.1	64987	65748	+	762	2
SGL_RS02145	NC_000911.1	65827	67533	-	1707	9
SGL_RS02150	NC_000911.1	67606	68361	+	756	1
SGL_RS02155	NC_000911.1	68400	69059	-	660	8
SGL_RS02160	NC_000911.1	69284	69985	+	702	13
SGL_RS02165	NC_000911.1	70016	70393	-	378	1
SGL_RS02170	NC_000911.1	70420	70935	-	516	2
SGL_RS02175	NC_000911.1	70944	74042	-	3099	24
SGL_RS02180	NC_000911.1	73978	74229	-	252	1
SGL_RS02185	NC_000911.1	74498	74785	+	288	16
SGL_RS02190	NC_000911.1	74995	75804	+	810	12
SGL_RS02195	NC_000911.1	75955	76500	-	546	4
SGL_RS02200	NC_000911.1	76580	77407	-	828	13
SGL_RS02205	NC_000911.1	77494	77826	-	333	24
SGL_RS02210	NC_000911.1	77980	78246	-	267	0
SGL_RS02215	NC_000911.1	78206	78445	-	240	1
SGL_RS02220	NC_000911.1	78467	80800	-	2334	13
SGL_RS02225	NC_000911.1	80938	81690	+	753	5
SGL_RS02230	NC_000911.1	81696	82259	-	564	12
SGL_RS02235	NC_000911.1	82291	83853	-	1563	90
SGL_RS02240	NC_000911.1	84122	84697	+	576	3
SGL_RS02245	NC_000911.1	84776	86107	+	1332	19
SGL_RS02250	NC_000911.1	86159	87418	+	1260	4
SGL_RS02255	NC_000911.1	87536	87910	-	375	0
SGL_RS02260	NC_000911.1	88017	88661	-	645	1
SGL_RS02265	NC_000911.1	88818	90506	-	1689	11
SGL_RS02270	NC_000911.1	90737	91411	+	675	55
SGL_RS02275	NC_000911.1	91517	92482	+	966	31
SGL_RS02280	NC_000911.1	93128	95152	+	2025	43
SGL_RS02285	NC_000911.1	95236	95808	+	573	7
SGL_RS02290	NC_000911.1	95818	96228	-	411	1
SGL_RS02295	NC_000911.1	96325	98481	-	2157	152
SGL_RS02300	NC_000911.1	98609	99199	-	591	6
SGL_RS02305	NC_000911.1	99402	100793	+	1392	6
SGL_RS02310	NC_000911.1	100794	101771	-	978	14
SGL_RS02315	NC_000911.1	101884	102831	-	948	9
SGL_RS02320	NC_000911.1	102930	105110	-	2181	15
SGL_RS02325	NC_000911.1	105151	106464	-	1314	13
SGL_RS18640	NC_000911.1	106905	107208	+	304	0
SGL_RS02330	NC_000911.1	107471	108325	-	855	1
SGL_RS02335	NC_000911.1	108290	109201	+	912	5
SGL_RS02340	NC_000911.1	109222	110313	+	1092	16
SGL_RS02345	NC_000911.1	110392	110724	+	333	0
SGL_RS02350	NC_000911.1	110808	111224	+	417	0
SGL_RS02355	NC_000911.1	111588	112559	+	972	9
SGL_RS02360	NC_000911.1	112860	114188	+	1329	9
SGL_RS02365	NC_000911.1	114319	114624	+	306	11
SGL_RS02370	NC_000911.1	114874	115272	+	399	4
SGL_RS02375	NC_000911.1	115269	116477	+	1209	14
SGL_RS02380	NC_000911.1	116518	117693	-	1176	47
SGL_RS02385	NC_000911.1	117869	118336	+	468	1
SGL_RS02390	NC_000911.1	118333	119532	-	1200	6
SGL_RS02395	NC_000911.1	119570	119962	-	393	5
SGL_RS02400	NC_000911.1	120298	120537	-	240	3
SGL_RS02405	NC_000911.1	120719	121660	+	942	2
SGL_RS02410	NC_000911.1	121706	121963	-	258	1
SGL_RS02415	NC_000911.1	122287	123405	+	1119	1
SGL_RS18645	NC_000911.1	123501	124079	-	579	1
SGL_RS19745	NC_000911.1	123989	124348	-	360	2
SGL_RS02430	NC_000911.1	124452	126443	-	1992	27
SGL_RS02435	NC_000911.1	126639	127064	+	426	124
SGL_RS02440	NC_000911.1	127186	128712	+	1527	4
SGL_RS02445	NC_000911.1	128802	129710	+	909	9
SGL_RS02450	NC_000911.1	129791	130186	+	396	7
SGL_RS02455	NC_000911.1	130167	131039	-	873	0
SGL_RS02460	NC_000911.1	131116	131790	+	675	5
SGL_RS02465	NC_000911.1	131952	132407	+	456	11
SGL_RS02470	NC_000911.1	132483	133859	+	1377	17
SGL_RS02475	NC_000911.1	133923	134177	+	255	19
SGL_RS02480	NC_000911.1	134437	137442	+	3006	135
SGL_RS02485	NC_000911.1	137444	138112	+	669	29
SGL_RS20105	NC_000911.1	138176	138301	-	126	0
SGL_RS02490	NC_000911.1	138295	140535	+	2241	15
SGL_RS02495	NC_000911.1	140585	141007	+	423	3
SGL_RS02500	NC_000911.1	141123	141428	-	306	0
SGL_RS02505	NC_000911.1	141648	142442	+	795	0
SGL_RS02510	NC_000911.1	142559	142981	+	423	14
SGL_RS02515	NC_000911.1	142981	143826	+	846	28
SGL_RS02520	NC_000911.1	144061	144543	+	483	10
SGL_RS02525	NC_000911.1	144554	145081	+	528	0
SGL_RS02530	NC_000911.1	145164	145529	-	366	8
SGL_RS02540	NC_000911.1	145761	146615	+	855	16
SGL_RS18650	NC_000911.1	146724	146831	-	108	32
SGL_RS02545	NC_000911.1	146980	147894	+	915	4
SGL_RS02550	NC_000911.1	148022	148942	-	921	9
SGL_RS02555	NC_000911.1	148943	149683	-	741	28
SGL_RS02560	NC_000911.1	149889	150455	-	567	14
SGL_RS02565	NC_000911.1	150594	152072	-	1479	1
SGL_RS02570	NC_000911.1	152154	153050	-	897	4
SGL_RS02580	NC_000911.1	153622	153996	+	375	7
SGL_RS02585	NC_000911.1	154143	154679	+	537	39
SGL_RS02590	NC_000911.1	154703	155461	+	759	12
SGL_RS02595	NC_000911.1	155473	156258	+	786	0
SGL_RS02600	NC_000911.1	156391	156651	+	261	4
SGL_RS02605	NC_000911.1	156741	157013	-	273	88
SGL_RS02610	NC_000911.1	157050	158615	-	1566	400
SGL_RS02615	NC_000911.1	158757	159737	-	981	20
SGL_RS19540	NC_000911.1	159812	159961	-	150	7
SGL_RS18655	NC_000911.1	160004	160093	-	90	0
SGL_RS02620	NC_000911.1	160258	161058	+	801	3
SGL_RS02625	NC_000911.1	161088	161642	-	555	29
SGL_RS02630	NC_000911.1	161768	163663	-	1896	37
SGL_RS02635	NC_000911.1	164037	165821	-	1785	98
SGL_RS02640	NC_000911.1	165871	166389	-	519	32
SGL_RS02645	NC_000911.1	166416	168152	-	1737	180
SGL_RS02655	NC_000911.1	168533	169921	+	1389	74
SGL_RS02660	NC_000911.1	169934	170566	-	633	2
SGL_RS02665	NC_000911.1	170572	171840	+	1269	6
SGL_RS02670	NC_000911.1	171939	172883	-	945	41
SGL_RS02675	NC_000911.1	173014	174525	-	1512	84
SGL_RS02680	NC_000911.1	174586	175143	-	558	20
SGL_RS02685	NC_000911.1	175143	175682	-	540	21
SGL_RS02690	NC_000911.1	175708	176139	-	432	12
SGL_RS02695	NC_000911.1	176256	176501	-	246	18
SGL_RS02700	NC_000911.1	176693	177523	-	831	90
SGL_RS02705	NC_000911.1	177592	178098	-	507	88
SGL_RS02710	NC_000911.1	178309	179682	+	1374	28
SGL_RS02715	NC_000911.1	179734	181047	+	1314	9
SGL_RS02720	NC_000911.1	181097	182221	+	1125	2
SGL_RS02725	NC_000911.1	182354	183298	+	945	5
SGL_RS02730	NC_000911.1	183493	183849	+	357	115
SGL_RS02735	NC_000911.1	183935	184924	-	990	0
SGL_RS02740	NC_000911.1	184968	185636	-	669	1
SGL_RS02745	NC_000911.1	185772	186554	-	783	5
SGL_RS02750	NC_000911.1	186601	188892	-	2292	9
SGL_RS02755	NC_000911.1	189128	189715	+	588	16
SGL_RS02765	NC_000911.1	190033	190818	+	786	9
SGL_RS02770	NC_000911.1	190815	191819	-	1005	4
SGL_RS19750	NC_000911.1	191857	192045	+	189	0
SGL_RS02775	NC_000911.1	192136	192783	+	648	0
SGL_RS02780	NC_000911.1	192882	194306	+	1425	29
SGL_RS02785	NC_000911.1	194310	194801	+	492	14
SGL_RS02790	NC_000911.1	194877	195617	+	741	11
SGL_RS02795	NC_000911.1	195685	196305	+	621	1
SGL_RS19405	NC_000911.1	196424	196564	-	141	1
SGL_RS02800	NC_000911.1	196611	196991	+	381	7
SGL_RS02805	NC_000911.1	197072	197557	+	486	13
SGL_RS02810	NC_000911.1	197633	200185	+	2553	28
SGL_RS02815	NC_000911.1	200405	202525	+	2121	63
SGL_RS02820	NC_000911.1	202554	204395	+	1842	82
SGL_RS02825	NC_000911.1	204604	206397	+	1794	143
SGL_RS02830	NC_000911.1	206650	206853	-	204	0
SGL_RS02835	NC_000911.1	206863	208392	-	1530	8
SGL_RS02840	NC_000911.1	208549	209427	-	879	7
SGL_RS02845	NC_000911.1	209527	209826	-	300	10
