Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRX12668170	SRX12668170_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11520352.0	0.0	20-150	48.0	12.744851489073142	142.83976991328043	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668171	SRX12668171_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14720811.0	0.0	20-150	47.0	8.544347576257948	141.94157441461616	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668172	SRX12668172_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11368279.0	0.0	18-150	48.0	13.454244021645431	141.58303609543714	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668173	SRX12668173_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12834537.0	0.0	20-150	46.0	3.9695130700095045	141.02039894388088	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668174	SRX12668174_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11292254.0	0.0	20-150	46.0	4.117806985320335	140.35829321586283	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668175	SRX12668175_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10715545.0	0.0	20-150	45.0	3.9956457798417366	141.57104645633984	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX12668176	SRX12668176_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12822127.0	0.0	20-150	47.0	4.530054382041856	141.79696059787895	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668177	SRX12668177_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10326511.0	0.0	20-150	45.0	4.196410713096117	142.06429809642387	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668178	SRX12668178_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10708694.0	0.0	20-150	46.0	4.510895164237228	141.0881412803466	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRX12668179	SRX12668179_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8218959.0	0.0	20-150	47.0	12.821497916433461	141.07416036507786	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
