Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX11490741	9321772	3888134	218723	1440942	0	0	0	0	0	0	0	0	0	3253670	518256	2047	41.710245648574116
SRX11490742	7656014	2832699	164185	1435009	0	0	0	0	0	0	0	0	0	2814673	407883	1565	36.99965804660232
SRX11490743	7218556	2390175	150190	1434690	0	0	0	0	0	0	0	0	0	2812614	429375	1512	33.111539205347995
SRX11490744	7876357	2860020	150480	1533652	0	0	0	0	0	0	0	0	0	2836962	493444	1799	36.311457187631284
SRX11490745	9255201	3368925	138727	1733654	0	0	0	0	0	0	0	0	0	3429237	582652	2006	36.400343979563495
SRX11490746	9449887	3519961	176638	1497370	0	0	0	0	0	0	0	0	0	3677553	576355	2010	37.24870995811907
SRX11490747	8917492	2579474	223008	1246953	0	0	0	0	0	0	0	0	0	4459056	407724	1277	28.926002961370756
SRX11490748	9007198	2954258	159978	1806978	0	0	0	0	0	0	0	0	0	3620086	464094	1804	32.79885709185032
SRX11490749	7644471	2346762	109366	1527184	0	0	0	0	0	0	0	0	0	3247130	412539	1490	30.69881486894253
SRX11490750	8704083	2760208	102196	1736198	0	0	0	0	0	0	0	0	0	3665130	438630	1721	31.7116461320509
SRX11490751	8319401	2527832	89601	1389514	0	0	0	0	0	0	0	0	0	3890124	420810	1520	30.384783712192743
SRX11490752	8713668	2563463	102587	1437876	0	0	0	0	0	0	0	0	0	4144920	463209	1613	29.418873888699913
