Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX368713	12942217.0	10008923.0	77.34	2933294.0	22.66
SRX368714	19847089.0	15463580.0	77.91	4383509.0	22.09
SRX368715	37392106.0	28959097.0	77.45	8433009.0	22.55
SRX368716	39960544.0	32044675.0	80.19	7915869.0	19.81
SRX368717	27863266.0	22578582.0	81.03	5284684.0	18.97
SRX368718	30226797.0	24191544.0	80.03	6035253.0	19.97
SRX368719	17123833.0	13288370.0	77.6	3835463.0	22.4
SRX368720	34734408.0	27854520.0	80.19	6879888.0	19.81
SRX368721	41376887.0	39373060.0	95.16	2003827.0	4.84
SRX368722	17895842.0	13025392.0	72.78	4870450.0	27.22
SRX368724	33349796.0	28199649.0	84.56	5150147.0	15.44
SRX368725	31981731.0	14311452.0	44.75	17670279.0	55.25
SRX9848492	4923932.0	4434497.0	90.06	489435.0	9.94
SRX9848493	9404120.0	8597079.0	91.42	807041.0	8.58
SRX9848502	6827960.0	6259973.0	91.68	567987.0	8.32
SRX9848503	6708961.0	5981494.0	89.16	727467.0	10.84
SRX9848504	6538139.0	5956640.0	91.11	581499.0	8.89
SRX9848505	6629385.0	6018162.0	90.78	611223.0	9.22
