Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX368713	8.755679185413133	1133179	77.34	10008923.0	4.92284130423648	88.51058666777354	48.0	94.6728213566501	36.36363636363637	12942217.0
SRX368714	5.55820553835376	1103142	77.91	15463580.0	4.582111965313496	93.03129300607716	48.0	95.00946461216554	36.36363636363637	19847089.0
SRX368715	5.56377862215089	2080414	77.45	28959097.0	5.937855393044458	92.62587737846839	48.0	93.66401100809888	36.36363636363637	37392106.0
SRX368716	1.4071730354821996	562314	80.19	32044675.0	5.223496436164725	95.59586213004307	49.0	94.38656205481087	36.36363636363637	39960544.0
SRX368717	10.800546497312984	3009385	81.03	22578582.0	4.321005382466055	90.1330082749061	48.0	95.30164252819465	45.45454545454545	27863266.0
SRX368718	8.93546213315291	2700904	80.03	24191544.0	4.5191654713970815	90.96795075468992	49.0	95.10411586116783	45.45454545454545	30226797.0
SRX368719	8.0027351352936	1370375	77.6	13288370.0	5.061955426038839	88.72438018837136	49.0	94.53922973904265	36.36363636363637	17123833.0
SRX368720	6.7129141800833345	2331691	80.19	27854520.0	4.46648841363446	93.10119798031376	49.0	95.12926289113665	36.36363636363637	34734408.0
SRX368721	11.841685915134214	4899721	95.16	39373060.0	2.5348315897697646	96.20452255333997	50.0	97.79641411882919	27.27272727272727	41376887.0
SRX368722	3.1941497918902058	571620	72.78	13025392.0	5.408403182752383	92.7827876316801	47.0	94.15933421852965	36.36363636363637	17895842.0
SRX368724	5.758496993504847	1920447	84.56	28199649.0	3.9586931910638445	91.88895987996904	49.0	95.64845704003707	45.45454545454545	33349796.0
SRX368725	1.3104512698202608	419105	44.75	14311452.0	13.42641465416963	90.79520540289165	43.0	86.05530926390445	36.36363636363637	31981731.0
SRX9848492	47.46314530744941	2337053	90.06	4434497.0	0.2961772409727587	89.87266060298575	48.0	148.93312559962243	40.0	4923932.0
SRX9848493	53.353572689416985	5017434	91.42	8597079.0	0.3453158150632184	90.46721045278818	47.0	148.9990656223017	30.0	9404120.0
SRX9848502	54.60346867878546	3728303	91.68	6259973.0	0.31805891548616305	90.09369883943585	49.0	148.97615144201197	30.0	6827960.0
SRX9848503	45.11355782214265	3026651	89.16	5981494.0	0.3123827023918154	90.02176532288321	47.0	149.02163732953582	40.0	6708961.0
SRX9848504	50.904301667492845	3328194	91.11	5956640.0	0.31446855818125996	89.60540682557215	48.0	148.9959436469613	30.0	6538139.0
SRX9848505	50.7205872037904	3362463	90.78	6018162.0	0.31754139880212084	89.54816885393535	47.0	149.0182492041117	30.0	6629385.0
