Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX1643160	703659	27267	205363	464444	0	0	0	0	0	0	0	0	0	4166	2395	24	3.8750303769297343
SRX1643581	328003	9684	100385	216329	0	0	0	0	0	0	0	0	0	790	806	9	2.952412020621763
SRX1643582	1113171	21790	348237	739550	0	0	0	0	0	0	0	0	0	1761	1814	19	1.9574710444307297
SRX1643625	70493	1872	7613	48113	0	0	0	0	0	0	0	0	0	12714	179	2	2.6555828238264794
SRX1643626	183606	12284	47254	121476	0	0	0	0	0	0	0	0	0	1704	878	10	6.690413167325686
SRX1643627	173272	9654	45465	115769	0	0	0	0	0	0	0	0	0	1690	688	6	5.571586869199871
SRX347145	8111831	1015264	457693	5456545	0	0	0	0	11471	0	0	0	0	1031515	138564	779	12.515842600764241
SRX347146	6135005	1121604	381191	3941704	0	0	0	0	8687	0	0	0	0	544847	135849	1123	18.282038889943856
SRX347147	7390745	931955	4071761	391191	0	0	0	0	3408	0	0	0	0	1847267	144571	592	12.609757203096574
SRX347148	12038370	1593828	6408397	664191	0	0	0	0	6501	0	0	0	0	3110165	254296	992	13.2395664861605
SRX347149	7565020	1717831	2778973	1072437	0	0	0	0	4521	0	0	0	0	1685327	304467	1464	22.70755397870726
SRX347150	4637197	1553541	444249	800421	0	0	0	0	2903	0	0	0	0	1535995	298555	1533	33.50172528792717
