Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX1643160	703659.0	239215.0	34.0	464444.0	66.0
SRX1643581	328003.0	111674.0	34.05	216329.0	65.95
SRX1643582	1113171.0	373621.0	33.56	739550.0	66.44
SRX1643625	70493.0	22380.0	31.75	48113.0	68.25
SRX1643626	183606.0	62130.0	33.84	121476.0	66.16
SRX1643627	173272.0	57503.0	33.19	115769.0	66.81
SRX347145	8111831.0	2655286.0	32.73	5456545.0	67.27
SRX347146	6135005.0	2193301.0	35.75	3941704.0	64.25
SRX347147	7390745.0	6999554.0	94.71	391191.0	5.29
SRX347148	12038370.0	11374179.0	94.48	664191.0	5.52
SRX347149	7565020.0	6492583.0	85.82	1072437.0	14.18
SRX347150	4637197.0	3836776.0	82.74	800421.0	17.26
