Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX1643160	3.8750303769297343	27267	34.0	239215.0	12.143016535444984	63.88806646593822	51.0	194.79514082815683	40.0	703659.0
SRX1643581	2.952412020621763	9684	34.05	111674.0	8.389880000583611	68.5073670645258	51.0	211.61498522879364	40.0	328003.0
SRX1643582	1.9574710444307297	21790	33.56	373621.0	8.071435019707392	74.48924742850888	52.0	211.88836036871245	30.0	1113171.0
SRX1643625	2.6555828238264794	1872	31.75	22380.0	13.864498980370888	42.83404025931653	51.0	186.5710354219568	20.0	70493.0
SRX1643626	6.690413167325686	12284	33.84	62130.0	13.71507177319006	48.72335326732242	51.0	185.59907083646505	20.0	183606.0
SRX1643627	5.571586869199871	9654	33.19	57503.0	10.35784939829796	57.10963110023547	51.0	208.45246779629716	40.0	173272.0
SRX347145	12.515842600764241	1015264	32.73	2655286.0	49.099504565846566	28.38912816965926	27.0	124.98125108868763	40.0	8111831.0
SRX347146	18.282038889943856	1121604	35.75	2193301.0	19.724213967112554	27.971650173618272	27.0	143.49783447609252	20.0	6135005.0
SRX347147	12.609757203096574	931955	94.71	6999554.0	42.62677219879672	85.59627653605482	49.0	143.75380573947552	40.0	7390745.0
SRX347148	13.2395664861605	1593828	94.48	11374179.0	36.2495665690261	89.4521936235987	49.0	157.51324423489226	30.0	12038370.0
SRX347149	22.70755397870726	1717831	85.82	6492583.0	46.586571770681346	77.0743542270816	46.0	162.76515713111135	40.0	7565020.0
SRX347150	33.50172528792717	1553541	82.74	3836776.0	42.804927161256444	70.89641096298263	44.0	143.39599891917467	40.0	4637197.0
