# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX2492749_cds.txt" "SRX2492749.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX2492749.bam
SGL_RS00010	NC_005229.1	574	1017	-	444	109
SGL_RS00015	NC_005229.1	1136	1540	-	405	24
SGL_RS20055	NC_005229.1	1515	1700	-	186	48
SGL_RS00020	NC_005229.1	2528	13921	+	11394	1273
SGL_RS00025	NC_005229.1	14340	14639	-	300	5
SGL_RS00030	NC_005229.1	14579	15133	-	555	11
SGL_RS00035	NC_005229.1	15233	15481	-	249	2
SGL_RS00040	NC_005229.1	15996	16235	+	240	424
SGL_RS00045	NC_005229.1	16603	17166	+	564	86
SGL_RS00050	NC_005229.1	17218	17439	+	222	16
SGL_RS00055	NC_005229.1	17880	18800	+	921	17
SGL_RS00060	NC_005229.1	18822	20513	+	1692	26
SGL_RS00065	NC_005229.1	20523	21479	-	957	5
SGL_RS00070	NC_005229.1	21479	21760	-	282	4
SGL_RS00075	NC_005229.1	21843	23219	+	1377	27
SGL_RS00080	NC_005229.1	23255	23572	+	318	12
SGL_RS00085	NC_005229.1	23562	23903	+	342	18
SGL_RS00090	NC_005229.1	23890	24063	+	174	7
SGL_RS00095	NC_005229.1	24181	24462	+	282	10
SGL_RS00100	NC_005229.1	24473	24787	+	315	112
SGL_RS00105	NC_005229.1	24798	25955	+	1158	59
SGL_RS00110	NC_005229.1	25994	27175	+	1182	40
SGL_RS00115	NC_005229.1	27175	27735	+	561	33
SGL_RS00120	NC_005229.1	27859	28053	-	195	88
SGL_RS00125	NC_005229.1	28096	30168	-	2073	63
SGL_RS18470	NC_005229.1	30281	30574	-	294	6
SGL_RS19675	NC_005229.1	30677	31183	-	507	31
SGL_RS00135	NC_005229.1	31397	32062	+	666	130
SGL_RS00140	NC_005229.1	32015	32836	-	822	77
SGL_RS00145	NC_005229.1	32865	33350	-	486	84
SGL_RS00150	NC_005229.1	33422	33961	-	540	137
SGL_RS00155	NC_005229.1	34001	34624	-	624	257
SGL_RS18475	NC_005229.1	34736	35005	-	270	81
SGL_RS00160	NC_005229.1	35079	36365	-	1287	755
SGL_RS00165	NC_005229.1	36483	36866	+	384	51
SGL_RS00170	NC_005229.1	36906	38144	+	1239	221
SGL_RS00175	NC_005229.1	38437	38730	-	294	15
SGL_RS00180	NC_005229.1	38907	39641	+	735	43
SGL_RS00185	NC_005229.1	39663	40259	-	597	192
SGL_RS00190	NC_005229.1	40411	41316	-	906	1417
SGL_RS00195	NC_005229.1	41411	42397	-	987	1736
SGL_RS00200	NC_005229.1	42442	43161	-	720	5330
SGL_RS00205	NC_005229.1	43343	44293	-	951	18590
SGL_RS00210	NC_005229.1	44338	45855	-	1518	219
SGL_RS00215	NC_005229.1	45852	46940	-	1089	171
SGL_RS00220	NC_005229.1	46945	48288	-	1344	172
SGL_RS00225	NC_005229.1	48291	49505	-	1215	57
SGL_RS00230	NC_005229.1	49707	50099	+	393	336
SGL_RS00235	NC_005229.1	50111	52333	-	2223	106
SGL_RS00240	NC_005229.1	52552	52992	+	441	620
SGL_RS00245	NC_005229.1	53037	54026	+	990	347
SGL_RS00250	NC_005229.1	54119	54910	+	792	28190
SGL_RS00255	NC_005229.1	54911	56281	+	1371	17405
SGL_RS19680	NC_005229.1	56357	56617	-	261	5249
SGL_RS00260	NC_005229.1	56854	57807	-	954	45990
SGL_RS00265	NC_005229.1	57972	60323	+	2352	410
SGL_RS00270	NC_005229.1	60291	61199	-	909	86
SGL_RS00275	NC_005229.1	61202	64831	-	3630	491
SGL_RS00280	NC_005229.1	64868	65245	-	378	243
SGL_RS00285	NC_005229.1	65331	65786	-	456	11
SGL_RS00290	NC_005229.1	65758	66480	-	723	590
SGL_RS18485	NC_005229.1	66782	67072	-	291	1
SGL_RS00295	NC_005229.1	67163	67378	-	216	0
SGL_RS00300	NC_005229.1	67362	67976	-	615	14
SGL_RS00305	NC_005229.1	68050	68574	-	525	5
SGL_RS19300	NC_005229.1	68904	69296	-	393	37
SGL_RS18490	NC_005229.1	69244	69408	-	165	8
SGL_RS00315	NC_005229.1	69335	70810	-	1476	43
SGL_RS00320	NC_005229.1	71474	71818	+	345	835
SGL_RS19365	NC_005229.1	71972	72238	+	267	115
SGL_RS00330	NC_005229.1	72425	73159	+	735	94
SGL_RS00335	NC_005229.1	73270	73485	+	216	23
SGL_RS00340	NC_005229.1	73728	74147	-	420	22
SGL_RS00345	NC_005229.1	74510	75055	-	546	5
SGL_RS00350	NC_005229.1	75147	75929	+	783	450
SGL_RS00355	NC_005229.1	76050	76988	+	939	489
SGL_RS00360	NC_005229.1	77192	77944	-	753	105
SGL_RS00365	NC_005229.1	78057	78881	-	825	325
SGL_RS00370	NC_005229.1	79505	80293	-	789	3
SGL_RS00375	NC_005229.1	80783	81613	+	831	394
SGL_RS19370	NC_005229.1	81723	81878	-	156	5
SGL_RS00385	NC_005229.1	82309	84186	-	1878	164
SGL_RS00390	NC_005229.1	84439	85110	-	672	3
SGL_RS00395	NC_005229.1	85167	85469	+	303	0
SGL_RS00400	NC_005229.1	85552	86997	-	1446	62
SGL_RS00405	NC_005229.1	87601	88020	+	420	51
SGL_RS00410	NC_005229.1	88114	88830	+	717	49
SGL_RS00415	NC_005229.1	88902	89759	-	858	20
SGL_RS00420	NC_005229.1	89699	90253	-	555	22
SGL_RS00425	NC_005229.1	90353	90601	-	249	0
