# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "32" "-s" "1" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX11490752_cds.txt" "SRX11490752.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX11490752.bam
SGL_RS01880	NC_000911.1	811	1494	+	684	150
SGL_RS01885	NC_000911.1	1577	2098	+	522	183
SGL_RS01890	NC_000911.1	2172	2873	-	702	995
SGL_RS01895	NC_000911.1	3192	4268	-	1077	1444
SGL_RS01900	NC_000911.1	4451	5389	-	939	278
SGL_RS01905	NC_000911.1	5534	6622	-	1089	462
SGL_RS01910	NC_000911.1	7229	8311	+	1083	84596
SGL_RS19400	NC_000911.1	8301	8450	-	150	325
SGL_RS01915	NC_000911.1	8492	10471	+	1980	648
SGL_RS01920	NC_000911.1	10622	12631	-	2010	218
SGL_RS01925	NC_000911.1	12782	13363	+	582	593
SGL_RS01930	NC_000911.1	13498	14529	+	1032	100
SGL_RS01935	NC_000911.1	14626	15675	+	1050	252
SGL_RS01940	NC_000911.1	15937	16743	+	807	64
SGL_RS01945	NC_000911.1	16740	17687	+	948	206
SGL_RS01950	NC_000911.1	17853	20393	-	2541	421
SGL_RS01955	NC_000911.1	20615	21595	-	981	39
SGL_RS01960	NC_000911.1	21838	23121	-	1284	47
SGL_RS01965	NC_000911.1	23139	24104	-	966	21
SGL_RS01970	NC_000911.1	24101	25003	-	903	26
SGL_RS01975	NC_000911.1	25266	27839	-	2574	89
SGL_RS01980	NC_000911.1	27990	29030	-	1041	62
SGL_RS01985	NC_000911.1	29098	29895	-	798	39
SGL_RS01990	NC_000911.1	29968	32454	-	2487	381
SGL_RS01995	NC_000911.1	32524	32928	-	405	4
SGL_RS02000	NC_000911.1	32912	33544	-	633	67
SGL_RS02005	NC_000911.1	33891	35489	+	1599	48
SGL_RS02010	NC_000911.1	35566	36615	+	1050	50
SGL_RS02015	NC_000911.1	36757	38538	+	1782	220
SGL_RS02020	NC_000911.1	38680	39636	+	957	67
SGL_RS02025	NC_000911.1	39817	42363	+	2547	459
SGL_RS02030	NC_000911.1	42567	43397	+	831	57
SGL_RS02035	NC_000911.1	43511	44506	+	996	50
SGL_RS02040	NC_000911.1	44511	44885	+	375	47
SGL_RS02045	NC_000911.1	44948	46789	+	1842	184
SGL_RS02050	NC_000911.1	47007	47942	-	936	100
SGL_RS02055	NC_000911.1	48067	48408	-	342	49
SGL_RS02060	NC_000911.1	48405	48635	-	231	186
SGL_RS02065	NC_000911.1	48663	49868	-	1206	263
SGL_RS02070	NC_000911.1	49893	50231	-	339	93
SGL_RS02075	NC_000911.1	50246	51895	+	1650	491
SGL_RS18635	NC_000911.1	52260	53108	-	849	37
SGL_RS02085	NC_000911.1	53453	54097	-	645	97
SGL_RS02090	NC_000911.1	54533	55657	+	1125	338
SGL_RS02095	NC_000911.1	55669	56550	-	882	377
SGL_RS02100	NC_000911.1	56556	57224	-	669	257
SGL_RS02105	NC_000911.1	57340	58815	-	1476	500
SGL_RS02110	NC_000911.1	59039	59650	-	612	42
