# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "32" "-s" "1" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX11490750_cds.txt" "SRX11490750.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX11490750.bam
SGL_RS01880	NC_000911.1	811	1494	+	684	139
SGL_RS01885	NC_000911.1	1577	2098	+	522	230
SGL_RS01890	NC_000911.1	2172	2873	-	702	894
SGL_RS01895	NC_000911.1	3192	4268	-	1077	1470
SGL_RS01900	NC_000911.1	4451	5389	-	939	286
SGL_RS01905	NC_000911.1	5534	6622	-	1089	492
SGL_RS01910	NC_000911.1	7229	8311	+	1083	89885
SGL_RS19400	NC_000911.1	8301	8450	-	150	324
SGL_RS01915	NC_000911.1	8492	10471	+	1980	601
SGL_RS01920	NC_000911.1	10622	12631	-	2010	211
SGL_RS01925	NC_000911.1	12782	13363	+	582	797
SGL_RS01930	NC_000911.1	13498	14529	+	1032	108
SGL_RS01935	NC_000911.1	14626	15675	+	1050	264
SGL_RS01940	NC_000911.1	15937	16743	+	807	69
SGL_RS01945	NC_000911.1	16740	17687	+	948	187
SGL_RS01950	NC_000911.1	17853	20393	-	2541	321
SGL_RS01955	NC_000911.1	20615	21595	-	981	44
SGL_RS01960	NC_000911.1	21838	23121	-	1284	29
SGL_RS01965	NC_000911.1	23139	24104	-	966	27
SGL_RS01970	NC_000911.1	24101	25003	-	903	20
SGL_RS01975	NC_000911.1	25266	27839	-	2574	86
SGL_RS01980	NC_000911.1	27990	29030	-	1041	57
SGL_RS01985	NC_000911.1	29098	29895	-	798	31
SGL_RS01990	NC_000911.1	29968	32454	-	2487	319
SGL_RS01995	NC_000911.1	32524	32928	-	405	8
SGL_RS02000	NC_000911.1	32912	33544	-	633	95
SGL_RS02005	NC_000911.1	33891	35489	+	1599	70
SGL_RS02010	NC_000911.1	35566	36615	+	1050	44
SGL_RS02015	NC_000911.1	36757	38538	+	1782	205
SGL_RS02020	NC_000911.1	38680	39636	+	957	61
SGL_RS02025	NC_000911.1	39817	42363	+	2547	365
SGL_RS02030	NC_000911.1	42567	43397	+	831	59
SGL_RS02035	NC_000911.1	43511	44506	+	996	63
SGL_RS02040	NC_000911.1	44511	44885	+	375	30
SGL_RS02045	NC_000911.1	44948	46789	+	1842	204
SGL_RS02050	NC_000911.1	47007	47942	-	936	127
SGL_RS02055	NC_000911.1	48067	48408	-	342	78
