Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX2492746	27.68058075263895	5853967	93.54	19781646.0	0.9651787451481547	86.78670420782608	48.0	73.63953495794765	40.0	21148281.0
SRX2492747	40.24130333164244	9296630	95.06	21961196.0	0.9071886940934455	85.28350205157018	48.0	73.66079382278984	40.0	23102209.0
SRX2492748	29.700297912314095	5940811	96.78	19359247.0	0.9874819669883277	87.30209895821358	47.0	73.6331985003897	40.0	20002530.0
SRX2492749	30.33079170799417	6718668	96.67	21413396.0	0.9667487458635816	87.98847048108993	48.0	73.63775841529198	40.0	22151311.0
SRX2492750	39.032950611130055	7733522	96.95	19209346.0	0.9179380258712266	84.77073715020893	48.0	73.65542111051015	40.0	19812804.0
SRX2492751	37.290872198275125	7708319	97.15	20080771.0	0.9135314174752638	85.02395235459858	48.0	73.65808326753599	40.0	20670793.0
SRX2694285	15.65260636206294	357861	73.66	1684092.0	1.2480756639374648	80.9649782230478	53.0	104.77708985505218	40.0	2286271.0
SRX2694286	13.7448491020566	416910	65.56	1988496.0	3.19177411554302	75.1661744949302	53.0	103.22790285799627	40.0	3033209.0
SRX2694287	18.456179938817062	347447	57.99	1091652.0	1.7903699037113998	69.17730655105305	52.0	111.52813814871416	40.0	1882551.0
SRX2694288	14.675882140994334	314853	47.78	1025069.0	10.783950297008413	61.954814205537765	53.0	98.19026958898134	40.0	2145377.0
