Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX2492746	21148281	5853967	90976	1366635	0	0	0	0	0	0	0	0	0	13397649	436602	2452	27.68058075263895	21148281.0	19781646.0	93.54	1366635.0	6.46	SRX2492746_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21148281.0	0.0	20-75	48.0	13.213295792173918	73.63953495794765	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21166775	7983802	21166775	1587508125	2586623	1572185834	0.9651787451481548	0.0474	0.3692	0.5835
SRX2492747	23102209	9296630	130047	1141013	0	0	0	0	0	0	0	0	0	11917883	613593	3043	40.24130333164244	23102209.0	21961196.0	95.06	1141013.0	4.94	SRX2492747_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23102209.0	0.0	20-75	48.0	14.71649794842982	73.66079382278984	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	23114903	8526578	23114903	1733617725	2774781	1717890541	0.9071886940934456	0.0433	0.3461	0.6106
SRX2492748	20002530	5940811	100188	643283	0	0	0	0	0	0	0	0	0	12874596	441152	2500	29.70029791231409	20002530.0	19359247.0	96.78	643283.0	3.22	SRX2492748_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20002530.0	0.0	20-75	47.0	12.697901041786428	73.6331985003897	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20021383	7735577	20021383	1501603725	2489210	1486775659	0.9874819669883276	0.0478	0.3494	0.6029
SRX2492749	22151311	6718668	100274	737915	0	0	0	0	0	0	0	0	0	14066752	524778	2924	30.33079170799417	22151311.0	21413396.0	96.67	737915.0	3.33	SRX2492749_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22151311.0	0.0	20-75	48.0	12.01152951891006	73.63775841529198	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22169239	8562909	22169239	1662692925	2607823	1646618862	0.9667487458635816	0.0614	0.3792	0.5594
SRX2492750	19812804	7733522	51341	603458	0	0	0	0	0	0	0	0	0	10851040	570353	3090	39.032950611130055	19812804.0	19209346.0	96.95	603458.0	3.05	SRX2492750_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19812804.0	0.0	20-75	48.0	15.229262849791064	73.65542111051015	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19823928	7462777	19823928	1486794600	2355883	1473146747	0.9179380258712266	0.0556	0.3526	0.5918
SRX2492751	20670793	7708319	87614	590022	0	0	0	0	0	0	0	0	0	11673948	607410	3480	37.290872198275125	20670793.0	20080771.0	97.15	590022.0	2.85	SRX2492751_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20670793.0	0.0	20-75	48.0	14.976047645401415	73.65808326753599	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20682221	7762511	20682221	1551166575	2365547	1536996181	0.9135314174752638	0.0604	0.3715	0.5681
SRX2694285	2286271	357861	571607	602179	0	0	0	0	0	0	0	0	0	722752	31764	108	15.65260636206294	2286271.0	1684092.0	73.66	602179.0	26.34	SRX2694285_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2286271.0	0.0	20-346	53.0	19.03502177695221	104.77708985505218	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	2302652	756602	2302652	244742854	2213712	241688278	1.2480756639374648	0.386	0.0597	0.5543
SRX2694286	3033209	416910	692058	1044713	0	0	0	0	0	0	0	0	0	842393	37008	127	13.7448491020566	3033209.0	1988496.0	65.56	1044713.0	34.44	SRX2694286_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3033209.0	0.0	20-334	53.0	24.833825505069797	103.22790285799628	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	3219388	1031500	3219388	327034985	9269086	316596767	3.19177411554302	0.3849	0.0607	0.5544
SRX2694287	1882551	347447	279369	790899	0	0	0	0	0	0	0	0	0	438633	26088	115	18.456179938817066	1882551.0	1091652.0	57.99	790899.0	42.01	SRX2694287_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1882551.0	0.0	20-344	52.0	30.82269344894696	111.52813814871416	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	1912613	567025	1912613	215489268	3197938	211631213	1.7903699037113998	0.4268	0.0694	0.5038
SRX2694288	2145377	314853	248604	1120308	0	0	0	0	0	0	0	0	0	439772	21728	112	14.675882140994334	2145377.0	1025069.0	47.78	1120308.0	52.22	SRX2694288_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2145377.0	0.0	20-353	53.0	38.04518579446224	98.19026958898134	pass	warn	warn	fail	fail	pass	warn	fail	fail	pass	2.6	3013603	801100	3013603	240919100	25020807	214938504	10.783950297008412	0.4142	0.0924	0.4934
